time_step,total_seconds,hours,minutes,seconds,rpm,band,caution_seconds,redline_seconds
0,60,0,1,0,7387,Cruise,0,0
60,120,0,2,0,2292,Idle,0,0
120,180,0,3,0,8157,Cruise,0,0
180,240,0,4,0,9250,Caution,60,0
240,300,0,5,0,9908,RedLine,60,60
300,360,0,6,0,5438,Climb,60,60
360,420,0,7,0,2178,Idle,60,60
420,480,0,8,0,1531,Idle,60,60
480,540,0,9,0,6229,Cruise,60,60
540,600,0,10,0,7806,Cruise,60,60
600,660,0,11,0,9883,RedLine,60,120
660,660,0,11,0,259,PowerOff,60,120
720,720,0,12,0,8727,Cruise,60,120
780,780,0,13,0,5515,Climb,60,120
840,840,0,14,0,4149,Climb,60,120
900,900,0,15,0,7058,Cruise,60,120
960,960,0,16,0,10815,OverLimit,60,180
1020,1020,0,17,0,2588,Idle,60,180
1080,1080,0,18,0,2003,Idle,60,180
1140,1140,0,19,0,2645,Idle,60,180
1200,1200,0,20,0,7240,Cruise,60,180
1260,1260,0,21,0,3678,Climb,60,180
1320,1320,0,22,0,5052,Climb,60,180
1380,1380,0,23,0,9732,Caution,120,180
1440,1440,0,24,0,2158,Idle,120,180
1500,1500,0,25,0,1533,Idle,120,180
1560,1560,0,26,0,4558,Climb,120,180
1620,1620,0,27,0,6794,Cruise,120,180
1680,1680,0,28,0,6396,Cruise,120,180
1740,1740,0,29,0,7868,Cruise,120,180
1800,1800,0,30,0,6416,Cruise,120,180
1860,1860,0,31,0,8869,Cruise,120,180
1920,1920,0,32,0,4745,Climb,120,180
1980,1980,0,33,0,5101,Climb,120,180
2040,2040,0,34,0,5888,Climb,120,180
2100,2100,0,35,0,7208,Cruise,120,180
2160,2160,0,36,0,3058,Idle,120,180
2220,2220,0,37,0,7750,Cruise,120,180
2280,2280,0,38,0,6161,Cruise,120,180
2340,2340,0,39,0,7140,Cruise,120,180
2400,2400,0,40,0,1340,Idle,120,180
2460,2460,0,41,0,3949,Climb,120,180
2520,2520,0,42,0,5847,Climb,120,180
2580,2580,0,43,0,6247,Cruise,120,180
2640,2640,0,44,0,3480,Idle,120,180
2700,2700,0,45,0,1545,Idle,120,180
2760,2760,0,46,0,3040,Idle,120,180
2820,2820,0,47,0,2015,Idle,120,180
2880,2880,0,48,0,4932,Climb,120,180
2940,2940,0,49,0,1798,Idle,120,180
3000,3000,0,50,0,7892,Cruise,120,180
3060,3060,0,51,0,4960,Climb,120,180
3120,3120,0,52,0,2466,Idle,120,180
3180,3180,0,53,0,3424,Idle,120,180
3240,3240,0,54,0,9550,Caution,180,180
3300,3300,0,55,0,5831,Climb,180,180
3360,3360,0,56,0,10512,OverLimit,180,240
3420,3420,0,57,0,8921,Cruise,180,240
3480,3480,0,58,0,8962,Cruise,180,240
3540,3540,0,59,0,2822,Idle,180,240
3600,3600,1,0,0,6820,Cruise,180,240
3660,3660,1,1,0,4469,Climb,180,240
3720,3720,1,2,0,2572,Idle,180,240
3780,3780,1,3,0,5800,Climb,180,240
3840,3840,1,4,0,7979,Cruise,180,240
3900,3900,1,5,0,9821,RedLine,180,300
3960,3960,1,6,0,9721,Caution,240,300
4020,3960,1,6,0,769,PowerOff,240,300
4080,4020,1,7,0,2680,Idle,240,300
